-0.141390, -0.049820, -0.988700, 1
-0.783430, 0.037780, -0.620330, 5
-0.107270, -0.450190, -0.886470, 1
0.270520, 0.890440, -0.365960, 4
0.025770, -0.943750, -0.329640, 3
0.042920, 0.770250, -0.636290, 4
-0.023450, -0.000800, 0.999720, 2
-0.936240, 0.053720, -0.347220, 5
0.987040, -0.077780, 0.140340, 6
-0.179210, 0.064680, 0.981680, 2
-0.009690, 0.140510, 0.990030, 2
0.035030, -0.961700, 0.271850, 3
0.028100, -0.997240, -0.068730, 3
0.049180, 0.992180, 0.114710, 4
0.991090, -0.098060, 0.090110, 6
-0.060710, 0.030740, -0.997680, 1
0.994680, -0.095280, -0.039050, 6
-0.921840, 0.068450, -0.381490, 5
